"TRACE_FILE" "l2_s" "l2_a" "AMAT_hacia_l2" 
"400.perlbench-41B.trace.txt.gz" 64 8 4095037.812 
"401.bzip2-226B.trace.txt.gz" 64 8 11353439.503 
"403.gcc-16B.trace.txt.gz" 64 8 12386777.514 
"410.bwaves-1963B.trace.txt.gz" 64 8 10279570.161 
"416.gamess-875B.trace.txt.gz" 64 8 8629960.511 
"429.mcf-184B.trace.txt.gz" 64 8 42221347.5375 
"433.milc-127B.trace.txt.gz" 64 8 12551068.576 
"435.gromacs-111B.trace.txt.gz" 64 8 5676701 
"436.cactusADM-1804B.trace.txt.gz" 64 8 5712252.012 
"437.leslie3d-134B.trace.txt.gz" 64 8 5565905.6205 
"444.namd-120B.trace.txt.gz" 64 8 5728572.2065 
"445.gobmk-17B.trace.txt.gz" 64 8 8503814.5515 
"450.soplex-247B.trace.txt.gz" 64 8 29167761.154 
"453.povray-887B.trace.txt.gz" 64 8 13777862.25 
"454.calculix-104B.trace.txt.gz" 64 8 4166250.658 
"456.hmmer-191B.trace.txt.gz" 64 8 5618197.95 
"458.sjeng-1088B.trace.txt.gz" 64 8 6735542.348 
"459.GemsFDTD-1169B.trace.txt.gz" 64 8 10994004.149 
"462.libquantum-1343B.trace.txt.gz" 64 8 10866359.6725 
"464.h264ref-30B.trace.txt.gz" 64 8 4221657.248 
"465.tonto-1769B.trace.txt.gz" 64 8 14830670.714 
"470.lbm-1274B.trace.txt.gz" 64 8 17696345.5685 
"471.omnetpp-188B.trace.txt.gz" 64 8 14882254.5315 
"473.astar-153B.trace.txt.gz" 64 8 5755672.29 
"481.wrf-1170B.trace.txt.gz" 64 8 5512406.7635 
"482.sphinx3-1100B.trace.txt.gz" 64 8 8674631.728 
"483.xalancbmk-127B.trace.txt.gz" 64 8 12005166.464 
"Media geométrica"   9176227.13863014 
"TRACE_FILE" "l2_s" "l2_a" "AMAT_hacia_l2" 
"400.perlbench-41B.trace.txt.gz" 64 16 4095037.812 
"401.bzip2-226B.trace.txt.gz" 64 16 11348098.351 
"403.gcc-16B.trace.txt.gz" 64 16 12386828.368 
"410.bwaves-1963B.trace.txt.gz" 64 16 10287421.963 
"416.gamess-875B.trace.txt.gz" 64 16 8637007.895 
"429.mcf-184B.trace.txt.gz" 64 16 42244690.5 
"433.milc-127B.trace.txt.gz" 64 16 12551068.576 
"435.gromacs-111B.trace.txt.gz" 64 16 5676835.3 
"436.cactusADM-1804B.trace.txt.gz" 64 16 5711502.711 
"437.leslie3d-134B.trace.txt.gz" 64 16 5565905.6205 
"444.namd-120B.trace.txt.gz" 64 16 5728758.587 
"445.gobmk-17B.trace.txt.gz" 64 16 8505815.8655 
"450.soplex-247B.trace.txt.gz" 64 16 29168617.9385 
"453.povray-887B.trace.txt.gz" 64 16 13789623.5 
"454.calculix-104B.trace.txt.gz" 64 16 4166250.658 
"456.hmmer-191B.trace.txt.gz" 64 16 5618228.7 
"458.sjeng-1088B.trace.txt.gz" 64 16 6736004.258 
"459.GemsFDTD-1169B.trace.txt.gz" 64 16 10994004.149 
"462.libquantum-1343B.trace.txt.gz" 64 16 10866359.6725 
"464.h264ref-30B.trace.txt.gz" 64 16 4221657.248 
"465.tonto-1769B.trace.txt.gz" 64 16 14830670.714 
"470.lbm-1274B.trace.txt.gz" 64 16 17696345.5685 
"471.omnetpp-188B.trace.txt.gz" 64 16 14891467.8495 
"473.astar-153B.trace.txt.gz" 64 16 5755886.5575 
"481.wrf-1170B.trace.txt.gz" 64 16 5512470.3415 
"482.sphinx3-1100B.trace.txt.gz" 64 16 8674702.771 
"483.xalancbmk-127B.trace.txt.gz" 64 16 12005166.464 9177402.77210116
"Media geométrica"    
"TRACE_FILE" "l2_s" "l2_a" "AMAT_hacia_l2" 
"400.perlbench-41B.trace.txt.gz" 128 8 4095037.812 
"401.bzip2-226B.trace.txt.gz" 128 8 11433143.749 
"403.gcc-16B.trace.txt.gz" 128 8 12387093.458 
"410.bwaves-1963B.trace.txt.gz" 128 8 10289491.779 
"416.gamess-875B.trace.txt.gz" 128 8 8639597.879 
"429.mcf-184B.trace.txt.gz" 128 8 42528785.025 
"433.milc-127B.trace.txt.gz" 128 8 12551068.576 
"435.gromacs-111B.trace.txt.gz" 128 8 5677798.775 
"436.cactusADM-1804B.trace.txt.gz" 128 8 5713683.344 
"437.leslie3d-134B.trace.txt.gz" 128 8 5565905.6205 
"444.namd-120B.trace.txt.gz" 128 8 5728817.3635 
"445.gobmk-17B.trace.txt.gz" 128 8 8511886.556 
"450.soplex-247B.trace.txt.gz" 128 8 29344814.147 
"453.povray-887B.trace.txt.gz" 128 8 13871181 
"454.calculix-104B.trace.txt.gz" 128 8 4166250.658 
"456.hmmer-191B.trace.txt.gz" 128 8 5618818.28 
"458.sjeng-1088B.trace.txt.gz" 128 8 6736969.252 
"459.GemsFDTD-1169B.trace.txt.gz" 128 8 10994004.149 
"462.libquantum-1343B.trace.txt.gz" 128 8 10866359.6725 
"464.h264ref-30B.trace.txt.gz" 128 8 4221657.248 
"465.tonto-1769B.trace.txt.gz" 128 8 14830670.714 
"470.lbm-1274B.trace.txt.gz" 128 8 17867190.7915 
"471.omnetpp-188B.trace.txt.gz" 128 8 14893688.6675 
"473.astar-153B.trace.txt.gz" 128 8 5757166.3775 
"481.wrf-1170B.trace.txt.gz" 128 8 5512488.534 
"482.sphinx3-1100B.trace.txt.gz" 128 8 8677952.242 
"483.xalancbmk-127B.trace.txt.gz" 128 8 12005182.976 9190495.86077616
"Media geométrica"    
"TRACE_FILE" "l2_s" "l2_a" "AMAT_hacia_l2" 
"400.perlbench-41B.trace.txt.gz" 128 16 4095037.812 
"401.bzip2-226B.trace.txt.gz" 128 16 11439416.585 
"403.gcc-16B.trace.txt.gz" 128 16 12387110.77 
"410.bwaves-1963B.trace.txt.gz" 128 16 10290595.788 
"416.gamess-875B.trace.txt.gz" 128 16 8640218.9825 
